Roll,Nationality,WT,AI,DSBDA,AVG,GRADE,PG
1,INDIA,72,72,74,72.6666666667,A,YES
2,JAPAN,70,69,40,59.6666666667,B,YES
3,INDIA,,40,60,50,C,NO
4,US,50,30,,40,D,YES
5,UK,51,52,53,52,C,NO
6,INDIA,45,40,,42.5,D,YES
7,JAPAN,75,89,56,73.3333333333,A,YES
8,INDIA,50,47,56,51,C,YES
9,US,50,,60,55,C,NO
10,UK,60,,80,70,A,YES
11,INDIA,75,29,45,49.6666666667,C,NO
12,JAPAN,45,15,40,33.3333333333,D,YES
13,INDIA,47,,85,66,B,YES
14,JAPAN,47,46,56,49.6666666667,C,YES
15,INDIA,,75,80,77.5,A,NO
16,INDIA,45,56,48,49.6666666667,C,YES
17,JAPAN,47,,,47,C,NO
18,INDIA,42,51,74,55.6666666667,B,YES
